,Decibels,Location,Latitude,Longitude,Volume Category
0,79.166489,"[u'-73.971978,', u'40.68814,']",40.68814,-73.971978,Quiet: < 85 decibles
1,90.824547,"[u'-73.972033,', u'40.688094,']",40.68809,-73.972033,Loud: > 90 decibles
2,88.532661,"[u'-73.971983,', u'40.688078,']",40.68807,-73.971983,Moderate: 85 to 90 decibles
3,77.046959,"[u'-73.971867,', u'40.688095,']",40.68809,-73.971867,Quiet: < 85 decibles
4,82.685875,"[u'-73.972053,', u'40.687536,']",40.68753,-73.972053,Quiet: < 85 decibles
5,83.108711,"[u'-73.972053,', u'40.687536,']",40.68753,-73.972053,Quiet: < 85 decibles
6,82.438606,"[u'-73.972471,', u'40.687484,']",40.68748,-73.972471,Quiet: < 85 decibles
7,86.052002,"[u'-73.972791,', u'40.687474,']",40.68747,-73.972791,Moderate: 85 to 90 decibles
8,84.724319,"[u'-73.972949,', u'40.687466,']",40.68746,-73.972949,Quiet: < 85 decibles
9,91.344925,"[u'-73.973113,', u'40.687456,']",40.68745,-73.973113,Loud: > 90 decibles
10,90.418961,"[u'-73.973287,', u'40.687367,']",40.68736,-73.973287,Loud: > 90 decibles
11,84.939018,"[u'-73.9735,', u'40.68731,']",40.68731,"-73.9735,",Quiet: < 85 decibles
12,88.036873,"[u'-73.973571,', u'40.687323,']",40.68732,-73.973571,Moderate: 85 to 90 decibles
13,83.886505,"[u'-73.973592,', u'40.687209,']",40.68720,-73.973592,Quiet: < 85 decibles
14,83.632446,"[u'-73.973578,', u'40.686984,']",40.68698,-73.973578,Quiet: < 85 decibles
15,80.962936,"[u'-73.973609,', u'40.686821,']",40.68682,-73.973609,Quiet: < 85 decibles
16,79.608208,"[u'-73.97352,', u'40.686736,']",40.68673,"-73.97352,",Quiet: < 85 decibles
17,88.330193,"[u'-73.973456,', u'40.686623,']",40.68662,-73.973456,Moderate: 85 to 90 decibles
18,79.62471,"[u'-73.973436,', u'40.686359,']",40.68635,-73.973436,Quiet: < 85 decibles
19,81.925262,"[u'-73.973466,', u'40.686173,']",40.68617,-73.973466,Quiet: < 85 decibles
20,86.047462,"[u'-73.973585,', u'40.686035,']",40.68603,-73.973585,Moderate: 85 to 90 decibles
21,71.219292,"[u'-73.973007,', u'40.689105,']",40.68910,-73.973007,Quiet: < 85 decibles
22,71.219292,"[u'-73.973007,', u'40.689105,']",40.68910,-73.973007,Quiet: < 85 decibles
23,76.429832,"[u'-73.972977,', u'40.688971,']",40.68897,-73.972977,Quiet: < 85 decibles
24,76.429832,"[u'-73.972977,', u'40.688971,']",40.68897,-73.972977,Quiet: < 85 decibles
25,77.146194,"[u'-73.972912,', u'40.688862,']",40.68886,-73.972912,Quiet: < 85 decibles
26,77.146194,"[u'-73.972912,', u'40.688862,']",40.68886,-73.972912,Quiet: < 85 decibles
